"title","publication_date","category","author","like_counts_per_date"
"Indian Summer Hits As Usual","2029-10-18","Weather","Steve Donahue","2029-10-18:589|2029-10-19:920|2029-10-21:252|2029-10-24:597|2029-10-28:424|2029-11-02:540|2029-11-08:456"
"Highway Repair Slows Traffic Down","2029-10-18","Traffic","Steve Donahue","2029-10-18:690|2029-10-19:297|2029-10-21:801|2029-10-24:873|2029-10-28:715|2029-11-02:232|2029-11-08:692"
"Laval Lions Lacrosse Team Strikes Again","2029-10-19","Sports","Carmen Jobs","2029-10-19:191|2029-10-20:840|2029-10-22:605|2029-10-25:812|2029-10-29:458|2029-11-03:571|2029-11-09:189"
"Canada U.S. NAFTA Negotiations In Full Swing","2029-10-19","Politics","Darrin Schneider","2029-10-19:928|2029-10-20:421|2029-10-22:919|2029-10-25:298|2029-10-29:531|2029-11-03:353|2029-11-09:788"
"The Brain Heart Health Connection","2029-10-19","Health","Carmen Jobs","2029-10-19:971|2029-10-20:671|2029-10-22:986|2029-10-25:928|2029-10-29:504|2029-11-03:784|2029-11-09:893"
"Eye Retina Computer Screens","2029-10-19","Technology","Derrick Cajon","2029-10-19:680|2029-10-20:703|2029-10-22:612|2029-10-25:666|2029-10-29:247|2029-11-03:809|2029-11-09:942"
"The Future Looks Sweet For Maple Syrup Exports","2029-10-19","Business","Derrick Cajon","2029-10-19:404|2029-10-20:215|2029-10-22:572|2029-10-25:290|2029-10-29:277|2029-11-03:335|2029-11-09:120"
"Freezing Rain Began Already This Fall","2029-10-19","Weather","Lisa Xavier","2029-10-19:928|2029-10-20:977|2029-10-22:629|2029-10-25:586|2029-10-29:513|2029-11-03:970|2029-11-09:562"
"Friday Afternoon Reverse Traffic Is Fully Clear","2029-10-19","Traffic","Lisa Xavier","2029-10-19:220|2029-10-20:550|2029-10-22:266|2029-10-25:739|2029-10-29:370|2029-11-03:185|2029-11-09:773"
"Ice-Hockey Little League Finals","2029-10-20","Sports","Aaron Bishop","2029-10-20:567|2029-10-21:346|2029-10-23:865|2029-10-26:750|2029-10-30:503|2029-11-04:753|2029-11-10:928"
"Government Considers Lowering Taxes","2029-10-20","Politics","Sara Fierro","2029-10-20:950|2029-10-21:299|2029-10-23:516|2029-10-26:672|2029-10-30:941|2029-11-04:961|2029-11-10:842"
"Climbing Stairs Proved Healthier Than Previously Thought","2029-10-20","Health","Aaron Bishop","2029-10-20:139|2029-10-21:598|2029-10-23:231|2029-10-26:281|2029-10-30:105|2029-11-04:903|2029-11-10:891"
"Holography Is The New Photography","2029-10-20","Technology","Donna Veruca","2029-10-20:445|2029-10-21:242|2029-10-23:722|2029-10-26:396|2029-10-30:925|2029-11-04:384|2029-11-10:910"
"Tech Jobs Are Booming","2029-10-20","Business","Donna Veruca","2029-10-20:809|2029-10-21:963|2029-10-23:383|2029-10-26:667|2029-10-30:658|2029-11-04:318|2029-11-10:407"
"Warm Weekend Forecast","2029-10-20","Weather","Jacob Mills","2029-10-20:808|2029-10-21:309|2029-10-23:891|2029-10-26:879|2029-10-30:467|2029-11-04:700|2029-11-10:182"
"Smooth Weekend Traffic","2029-10-20","Traffic","Jacob Mills","2029-10-20:848|2029-10-21:270|2029-10-23:174|2029-10-26:198|2029-10-30:647|2029-11-04:154|2029-11-10:687"
"Eagles Destroy Cheetahs","2029-10-21","Sports","Kirby Crawford","2029-10-21:540|2029-10-22:404|2029-10-24:590|2029-10-27:840|2029-10-31:592|2029-11-05:598|2029-11-11:251"
"Fifth Major Party Joins Political System","2029-10-21","Politics","Julie Bates","2029-10-21:814|2029-10-22:989|2029-10-24:357|2029-10-27:552|2029-10-31:659|2029-11-05:478|2029-11-11:256"
"Benefits Of Alcohol In Moderation","2029-10-21","Health","Kirby Crawford","2029-10-21:979|2029-10-22:768|2029-10-24:324|2029-10-27:427|2029-10-31:221|2029-11-05:972|2029-11-11:425"
"Hologram Business Meetings Are The New Craze","2029-10-21","Technology","Karen Bruin","2029-10-21:243|2029-10-22:654|2029-10-24:736|2029-10-27:599|2029-10-31:372|2029-11-05:177|2029-11-11:117"
"How To Start A Coffeeshop Business: A Full Breakdown","2029-10-21","Business","Karen Bruin","2029-10-21:701|2029-10-22:374|2029-10-24:808|2029-10-27:660|2029-10-31:679|2029-11-05:306|2029-11-11:747"
"Wonderful Sunday Weather","2029-10-21","Weather","Steve Donahue","2029-10-21:449|2029-10-22:392|2029-10-24:350|2029-10-27:530|2029-10-31:557|2029-11-05:650|2029-11-11:763"
"Sunday Morning Traffic To Downtown Montreal Backed Up","2029-10-21","Traffic","Steve Donahue","2029-10-21:896|2029-10-22:899|2029-10-24:895|2029-10-27:255|2029-10-31:455|2029-11-05:274|2029-11-11:886"
"Grand Slam Of Curling Pits Best Of Canada Against Best Of Europe","2029-10-22","Sports","Carmen Jobs","2029-10-22:363|2029-10-23:163|2029-10-25:755|2029-10-28:746|2029-11-01:810|2029-11-06:632|2029-11-12:139"
"Dual Party Politics Are Overridden By New Five Party System","2029-10-22","Politics","Darrin Schneider","2029-10-22:959|2029-10-23:125|2029-10-25:719|2029-10-28:639|2029-11-01:767|2029-11-06:362|2029-11-12:252"
"Eating What You Want Means Stopping When You Have Had Enough","2029-10-22","Health","Carmen Jobs","2029-10-22:953|2029-10-23:329|2029-10-25:480|2029-10-28:849|2029-11-01:271|2029-11-06:545|2029-11-12:297"
"Hyperloop Transporation System Implemented In Canada","2029-10-22","Technology","Derrick Cajon","2029-10-22:232|2029-10-23:410|2029-10-25:224|2029-10-28:912|2029-11-01:790|2029-11-06:852|2029-11-12:108"
"Import/Export Balance Is Key To Economy's Health","2029-10-22","Business","Derrick Cajon","2029-10-22:302|2029-10-23:950|2029-10-25:307|2029-10-28:739|2029-11-01:142|2029-11-06:285|2029-11-12:583"
